incident_id,date,severity,service,root_cause,mttr_minutes,customer_impact,escalation_path,business_impact_summary,postmortem_summary,time_to_resolution_minutes,symptoms
INC-2025-011,2025-05-12,P2,postgres-replica,Replica fell 8 min behind,22,Read-after-write inconsistencies,NOC → Platform SRE → Service owner,Read-after-write inconsistencies,Root cause: Replica fell 8 min behind. Resolution: mitigated. TTR 22 min. Escalation: NOC → Platform SRE → Service owner.,22,postgres-replica degradation in prod
INC-2025-012,2025-05-25,P3,deploy-pipeline,CI flakiness blocked release,41,"Deploy delayed, no customer impact",NOC → Service owner (next business day review),"Deploy delayed, no customer impact",Root cause: CI flakiness blocked release. Resolution: mitigated. TTR 41 min. Escalation: NOC → Service owner (next business day review).,41,deploy-pipeline degradation in prod
INC-2025-013,2025-06-07,P1,api-gateway,Custom domain cert expired,18,All public APIs unreachable,NOC → Platform SRE → Service owner → Incident commander → Exec comms,All public APIs unreachable,Root cause: Custom domain cert expired. Resolution: mitigated. TTR 18 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,18,api-gateway degradation in prod
INC-2025-014,2025-06-20,P2,auth-api,Token signing key rotation race,33,5% of new sessions rejected,NOC → Platform SRE → Service owner,5% of new sessions rejected,Root cause: Token signing key rotation race. Resolution: mitigated. TTR 33 min. Escalation: NOC → Platform SRE → Service owner.,33,auth-api degradation in prod
INC-2025-015,2025-07-04,P3,monitoring,Grafana datasource auth expired,7,"Dashboards blank, no real impact",NOC → Service owner (next business day review),"Dashboards blank, no real impact",Root cause: Grafana datasource auth expired. Resolution: mitigated. TTR 7 min. Escalation: NOC → Service owner (next business day review).,7,monitoring degradation in prod
INC-2025-016,2025-07-17,P1,payment-svc,"PSP webhook signing key leaked, rotated emergency",56,Webhook ingestion stopped for 56 min,NOC → Platform SRE → Service owner → Incident commander → Exec comms,Webhook ingestion stopped for 56 min,"Root cause: PSP webhook signing key leaked, rotated emergency. Resolution: mitigated. TTR 56 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.",56,payment-svc degradation in prod
INC-2025-017,2025-07-30,P2,auth-api,Pod CrashLoop from OOM after JDK upgrade,24,Login error rate 8%,NOC → Platform SRE → Service owner,Login error rate 8%,Root cause: Pod CrashLoop from OOM after JDK upgrade. Resolution: mitigated. TTR 24 min. Escalation: NOC → Platform SRE → Service owner.,24,auth-api degradation in prod
INC-2025-018,2025-08-11,P3,api-gateway,WAF false-positive blocked one customer,14,Single customer 403s,NOC → Service owner (next business day review),Single customer 403s,Root cause: WAF false-positive blocked one customer. Resolution: mitigated. TTR 14 min. Escalation: NOC → Service owner (next business day review).,14,api-gateway degradation in prod
INC-2025-019,2025-08-24,P1,postgres-primary,Connection pool exhausted from leaking app,41,All writes failing intermittently,NOC → Platform SRE → Service owner → Incident commander → Exec comms,All writes failing intermittently,Root cause: Connection pool exhausted from leaking app. Resolution: mitigated. TTR 41 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,41,postgres-primary degradation in prod
INC-2025-020,2025-09-06,P2,payment-svc,Currency rate cache stale,36,Wrong currency conversion on 0.2% of orders,NOC → Platform SRE → Service owner,Wrong currency conversion on 0.2% of orders,Root cause: Currency rate cache stale. Resolution: mitigated. TTR 36 min. Escalation: NOC → Platform SRE → Service owner.,36,payment-svc degradation in prod
INC-2025-021,2025-09-19,P3,auth-api,MFA email provider rate-limited,11,Email MFA delayed,NOC → Service owner (next business day review),Email MFA delayed,Root cause: MFA email provider rate-limited. Resolution: mitigated. TTR 11 min. Escalation: NOC → Service owner (next business day review).,11,auth-api degradation in prod
INC-2025-022,2025-10-02,P1,redis-cache,"Master node OOM, failover incomplete",39,Sessions invalidated,NOC → Platform SRE → Service owner → Incident commander → Exec comms,Sessions invalidated,"Root cause: Master node OOM, failover incomplete. Resolution: mitigated. TTR 39 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.",39,redis-cache degradation in prod
INC-2025-023,2025-10-15,P2,api-gateway,Stage variable typo broke routing,19,Beta endpoint 5xx,NOC → Platform SRE → Service owner,Beta endpoint 5xx,Root cause: Stage variable typo broke routing. Resolution: mitigated. TTR 19 min. Escalation: NOC → Platform SRE → Service owner.,19,api-gateway degradation in prod
INC-2025-024,2025-10-28,P3,monitoring,Alert silence forgotten 6 hours,360,"No customer impact, missed minor alerts",NOC → Service owner (next business day review),"No customer impact, missed minor alerts",Root cause: Alert silence forgotten 6 hours. Resolution: mitigated. TTR 360 min. Escalation: NOC → Service owner (next business day review).,360,monitoring degradation in prod
INC-2025-025,2025-11-10,P1,auth-api,Bad migration locked users table 4 min,16,"All writes blocked, reads OK",NOC → Platform SRE → Service owner → Incident commander → Exec comms,"All writes blocked, reads OK",Root cause: Bad migration locked users table 4 min. Resolution: mitigated. TTR 16 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,16,auth-api degradation in prod
INC-2025-026,2025-11-23,P2,payment-svc,Webhook backlog after PSP recovery,47,Order confirmation delayed up to 30 min,NOC → Platform SRE → Service owner,Order confirmation delayed up to 30 min,Root cause: Webhook backlog after PSP recovery. Resolution: mitigated. TTR 47 min. Escalation: NOC → Platform SRE → Service owner.,47,payment-svc degradation in prod
INC-2025-027,2025-12-06,P3,deploy-pipeline,Docker registry quota hit,28,"No customer impact, deploys blocked",NOC → Service owner (next business day review),"No customer impact, deploys blocked",Root cause: Docker registry quota hit. Resolution: mitigated. TTR 28 min. Escalation: NOC → Service owner (next business day review).,28,deploy-pipeline degradation in prod
INC-2025-028,2025-12-19,P1,api-gateway,"DDoS, WAF rate limits insufficient",88,30% of public traffic dropped,NOC → Platform SRE → Service owner → Incident commander → Exec comms,30% of public traffic dropped,"Root cause: DDoS, WAF rate limits insufficient. Resolution: mitigated. TTR 88 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.",88,api-gateway degradation in prod
INC-2025-029,2026-01-01,P2,auth-api,New year leap-second clock skew,21,Some tokens marked invalid,NOC → Platform SRE → Service owner,Some tokens marked invalid,Root cause: New year leap-second clock skew. Resolution: mitigated. TTR 21 min. Escalation: NOC → Platform SRE → Service owner.,21,auth-api degradation in prod
INC-2025-030,2026-01-14,P3,monitoring,Prometheus disk near full,17,No customer impact,NOC → Service owner (next business day review),No customer impact,Root cause: Prometheus disk near full. Resolution: mitigated. TTR 17 min. Escalation: NOC → Service owner (next business day review).,17,monitoring degradation in prod
INC-2026-NJ-001,2026-05-18,P2,postgres,Long-running analytics query saturated CPU on nj-db-primary-01,38,Settlement batch delays up to 12 min in NJ-DGE,NOC → Platform SRE → Service owner,Settlement batch delays up to 12 min in NJ-DGE,Root cause: Long-running analytics query saturated CPU on nj-db-primary-01. Resolution: mitigated. TTR 38 min. Escalation: NOC → Platform SRE → Service owner.,38,postgres degradation in prod
INC-2026-NJ-002,2026-05-22,P2,postgres,Replica lag 45s after primary CPU spike,29,Read-after-write issues on reporting,NOC → Platform SRE → Service owner,Read-after-write issues on reporting,Root cause: Replica lag 45s after primary CPU spike. Resolution: mitigated. TTR 29 min. Escalation: NOC → Platform SRE → Service owner.,29,postgres degradation in prod
INC-2026-NJ-003,2026-06-01,P2,postgres,Connection pool exhausted on checkout-api after deploy,52,Checkout timeouts 8% for 45 min NJ-DGE,NOC → Platform SRE → Service owner,Checkout timeouts 8% for 45 min NJ-DGE,Root cause: Connection pool exhausted on checkout-api after deploy. Resolution: mitigated. TTR 52 min. Escalation: NOC → Platform SRE → Service owner.,52,postgres degradation in prod
