incident_id,date,environment,service,severity,title,symptoms,root_cause,resolution,mttr_minutes,similar_alerts,escalation_path,business_impact_summary,postmortem_summary,time_to_resolution_minutes
INC-2025-11-28,2025-11-28,NJ-DGE,wallet-service,P3,Cache stampede on warm-up,elevated DB load on service restart,no cache warming on deploy,added cache pre-warming step to deploy pipeline,20,deploys,NOC → Service owner (next business day review),P3 on wallet-service in NJ-DGE: Cache stampede on warm-up. Customer-facing degradation until rollback/fix.,"Root cause: no cache warming on deploy. Resolution: added cache pre-warming step to deploy pipeline. MTTR 20 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",20
INC-2026-03-30,2026-03-30,MGM,auth-service,P3,Memory leak in session handler,memory utilization climbing 3%/hour,session objects not GC'd after timeout,deployed fixed session cleanup logic,65,memory,NOC → Service owner (next business day review),P3 on auth-service in MGM: Memory leak in session handler. Customer-facing degradation until rollback/fix.,"Root cause: session objects not GC'd after timeout. Resolution: deployed fixed session cleanup logic. MTTR 65 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",65
INC-2025-09-08,2025-09-08,GIB-UKGC,game-service,P2,Asset CDN cache miss storm,asset latency p95>5s; player experience degraded,CDN purge after deploy invalidated all assets simultaneously,phased CDN purge; warmed cache before traffic peak,32,performance,NOC → Platform SRE → Service owner,P2 on game-service in GIB-UKGC: Asset CDN cache miss storm. Customer-facing degradation until rollback/fix.,"Root cause: CDN purge after deploy invalidated all assets simultaneously. Resolution: phased CDN purge; warmed cache before traffic peak. MTTR 32 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",32
INC-2026-04-05,2026-04-05,NJ-DGE,replication,P2,Mirror failover required,primary DB node unresponsive,underlying EBS volume degraded,promoted mirror to primary; AWS replaced volume,12,replication,NOC → Platform SRE → Service owner,P2 on replication in NJ-DGE: Mirror failover required. Customer-facing degradation until rollback/fix.,"Root cause: underlying EBS volume degraded. Resolution: promoted mirror to primary; AWS replaced volume. MTTR 12 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",12
INC-2025-12-02,2025-12-02,MIRAGE,payments-service,P3,Refund queue backlog,refund processing delayed by 30 min,worker pod OOM-killed twice,increased pod memory limits; added autoscaling,45,capacity,NOC → Service owner (next business day review),P3 on payments-service in MIRAGE: Refund queue backlog. Customer-facing degradation until rollback/fix.,"Root cause: worker pod OOM-killed twice. Resolution: increased pod memory limits; added autoscaling. MTTR 45 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",45
INC-2026-01-22,2026-01-22,GIB-UKGC,bet-service,P1,Bet placement outage,bet placement failing for 12 minutes,DB connection exhaustion after dependency timeout,restarted service; added connection pool circuit breaker,12,outage,NOC → Platform SRE → Service owner → Incident commander → Exec comms,P1 on bet-service in GIB-UKGC: Bet placement outage. Customer-facing degradation until rollback/fix.,"Root cause: DB connection exhaustion after dependency timeout. Resolution: restarted service; added connection pool circuit breaker. MTTR 12 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",12
INC-2025-07-15,2025-07-15,MGM,wallet-service,P3,Slow withdrawals,withdrawal processing p95>10s,third-party identity verification slow,added timeout + fallback verification path,55,performance,NOC → Service owner (next business day review),P3 on wallet-service in MGM: Slow withdrawals. Customer-facing degradation until rollback/fix.,"Root cause: third-party identity verification slow. Resolution: added timeout + fallback verification path. MTTR 55 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",55
INC-2026-02-17,2026-02-17,NJ-DGE,game-service,P3,Sporadic game freezes,intermittent freezes for ~2% of sessions,WebSocket library bug under load,patched library; deployed across env,70,game,NOC → Service owner (next business day review),P3 on game-service in NJ-DGE: Sporadic game freezes. Customer-facing degradation until rollback/fix.,"Root cause: WebSocket library bug under load. Resolution: patched library; deployed across env. MTTR 70 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",70
INC-2025-10-28,2025-10-28,GIB-UKGC,auth-service,P2,Login failures regional,logins failing only from EU traffic,regional CDN config drift,reverted CDN config; added drift detection,25,auth,NOC → Platform SRE → Service owner,P2 on auth-service in GIB-UKGC: Login failures regional. Customer-facing degradation until rollback/fix.,"Root cause: regional CDN config drift. Resolution: reverted CDN config; added drift detection. MTTR 25 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",25
INC-2026-05-29,2026-05-29,MGM,bet-service,P3,Bet history query slow,history page loads >8s,missing index on user_id+timestamp,added composite index; query time 200ms,38,performance,NOC → Service owner (next business day review),P3 on bet-service in MGM: Bet history query slow. Customer-facing degradation until rollback/fix.,"Root cause: missing index on user_id+timestamp. Resolution: added composite index; query time 200ms. MTTR 38 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",38
INC-2025-08-12,2025-08-12,MIRAGE,wallet-service,P2,Duplicate transaction risk,idempotency key collision warning,key generation collision under high concurrency,switched to UUIDv7; replayed audit logs,50,data-integrity,NOC → Platform SRE → Service owner,P2 on wallet-service in MIRAGE: Duplicate transaction risk. Customer-facing degradation until rollback/fix.,"Root cause: key generation collision under high concurrency. Resolution: switched to UUIDv7; replayed audit logs. MTTR 50 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",50
INC-2026-03-19,2026-03-19,NJ-DGE,payments-service,P2,Withdrawal rejection spike,12% withdrawal rejection rate,fraud rules deployed without staging review,rolled back rules; manual review queue cleared,28,deploys,NOC → Platform SRE → Service owner,P2 on payments-service in NJ-DGE: Withdrawal rejection spike. Customer-facing degradation until rollback/fix.,"Root cause: fraud rules deployed without staging review. Resolution: rolled back rules; manual review queue cleared. MTTR 28 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",28
INC-2025-11-15,2025-11-15,GIB-UKGC,replication,P3,Replica restart loop,replica node restarted 4 times in 1 hour,OOM after schema change increased row size,tuned innodb_buffer_pool_size; restored stability,60,replication,NOC → Service owner (next business day review),P3 on replication in GIB-UKGC: Replica restart loop. Customer-facing degradation until rollback/fix.,"Root cause: OOM after schema change increased row size. Resolution: tuned innodb_buffer_pool_size; restored stability. MTTR 60 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",60
INC-2026-04-12,2026-04-12,MGM,game-service,P2,Leaderboard not updating,leaderboard stale by 15+ minutes,Redis cluster split-brain after network blip,re-elected primary; reduced failover timeout,33,game,NOC → Platform SRE → Service owner,P2 on game-service in MGM: Leaderboard not updating. Customer-facing degradation until rollback/fix.,"Root cause: Redis cluster split-brain after network blip. Resolution: re-elected primary; reduced failover timeout. MTTR 33 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",33
INC-2025-09-30,2025-09-30,MIRAGE,auth-service,P3,2FA SMS delays,2FA SMS delivery >2 min for 8% of users,SMS provider degradation in EU region,failed over to backup SMS provider,42,auth,NOC → Service owner (next business day review),P3 on auth-service in MIRAGE: 2FA SMS delays. Customer-facing degradation until rollback/fix.,"Root cause: SMS provider degradation in EU region. Resolution: failed over to backup SMS provider. MTTR 42 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",42
INC-2026-01-08,2026-01-08,NJ-DGE,wallet-service,P3,Inconsistent balance display,balances briefly displayed stale values,cache TTL too long after balance update,reduced TTL to 5s; added cache invalidation on write,26,data-integrity,NOC → Service owner (next business day review),P3 on wallet-service in NJ-DGE: Inconsistent balance display. Customer-facing degradation until rollback/fix.,"Root cause: cache TTL too long after balance update. Resolution: reduced TTL to 5s; added cache invalidation on write. MTTR 26 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",26
INC-2025-12-12,2025-12-12,GIB-UKGC,payments-service,P3,Failed deposit retries piling up,retry queue at 10x normal depth,downstream provider 502s; retry logic too aggressive,exponential backoff implemented,44,payments,NOC → Service owner (next business day review),P3 on payments-service in GIB-UKGC: Failed deposit retries piling up. Customer-facing degradation until rollback/fix.,"Root cause: downstream provider 502s; retry logic too aggressive. Resolution: exponential backoff implemented. MTTR 44 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",44
INC-2026-05-03,2026-05-03,MGM,auth-service,P3,Account lockout spike,account lockouts 3x normal rate,bot scanning campaign detected,WAF rule deployed; IP block list updated,30,security,NOC → Service owner (next business day review),P3 on auth-service in MGM: Account lockout spike. Customer-facing degradation until rollback/fix.,"Root cause: bot scanning campaign detected. Resolution: WAF rule deployed; IP block list updated. MTTR 30 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",30
INC-2025-08-25,2025-08-25,NJ-DGE,bet-service,P2,Bet limits not enforced,responsible-gaming limit checks bypassed,race condition between limit check and bet placement,added distributed lock on player ID,45,data-integrity,NOC → Platform SRE → Service owner,P2 on bet-service in NJ-DGE: Bet limits not enforced. Customer-facing degradation until rollback/fix.,"Root cause: race condition between limit check and bet placement. Resolution: added distributed lock on player ID. MTTR 45 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",45
INC-2026-02-26,2026-02-26,GIB-UKGC,game-service,P1,Slot game crash regional,specific slot game crashing 100% of plays in EU,incompatible asset version cached at EU CDN,purged CDN cache; emergency hotfix,18,game,NOC → Platform SRE → Service owner → Incident commander → Exec comms,P1 on game-service in GIB-UKGC: Slot game crash regional. Customer-facing degradation until rollback/fix.,"Root cause: incompatible asset version cached at EU CDN. Resolution: purged CDN cache; emergency hotfix. MTTR 18 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",18
INC-2025-10-04,2025-10-04,MIRAGE,wallet-service,P3,Slow KYC document upload,document upload latency p95>15s,S3 multipart upload misconfigured,fixed multipart threshold and concurrency,55,performance,NOC → Service owner (next business day review),P3 on wallet-service in MIRAGE: Slow KYC document upload. Customer-facing degradation until rollback/fix.,"Root cause: S3 multipart upload misconfigured. Resolution: fixed multipart threshold and concurrency. MTTR 55 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",55
INC-2026-03-11,2026-03-11,NJ-DGE,game-service,P3,Tournament leaderboard reset,leaderboard reset to zero for 4 minutes,Redis key collision during deploy,fixed key namespacing; restored from backup,28,game,NOC → Service owner (next business day review),P3 on game-service in NJ-DGE: Tournament leaderboard reset. Customer-facing degradation until rollback/fix.,"Root cause: Redis key collision during deploy. Resolution: fixed key namespacing; restored from backup. MTTR 28 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",28
INC-2025-11-20,2025-11-20,MGM,replication,P2,Replication broken to read replica,replica diverged from primary,long-running transaction held lock through replication restart,rebuilt replica from snapshot,90,replication,NOC → Platform SRE → Service owner,P2 on replication in MGM: Replication broken to read replica. Customer-facing degradation until rollback/fix.,"Root cause: long-running transaction held lock through replication restart. Resolution: rebuilt replica from snapshot. MTTR 90 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",90
INC-2026-04-30,2026-04-30,GIB-UKGC,bet-service,P3,Cashout calculation off by cents,small rounding errors in cashout amounts,floating-point arithmetic in cashout calculation,moved to fixed-point decimal; audit pass clean,35,data-integrity,NOC → Service owner (next business day review),P3 on bet-service in GIB-UKGC: Cashout calculation off by cents. Customer-facing degradation until rollback/fix.,"Root cause: floating-point arithmetic in cashout calculation. Resolution: moved to fixed-point decimal; audit pass clean. MTTR 35 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",35
