alert_id,seconds_offset,timestamp,environment,service,severity,title,status,affected_users,error_rate_pct,is_trigger
ALT-DEMO-0014,6.08,2026-06-10T10:00:06.080Z,GIB-UKGC,replication,P4,Webhook delivery retried for replication,auto-resolved,0,0.0,false
ALT-DEMO-0015,6.44,2026-06-10T10:00:06.440Z,MGM,game-service,P2,game-service 5xx rate above 2% (2.4%),active,28000,3.83,false
ALT-DEMO-0016,6.75,2026-06-10T10:00:06.750Z,MIRAGE,bet-service,P4,bet-service memory utilization 500%,acknowledged,0,0.0,false
ALT-DEMO-0017,7.27,2026-06-10T10:00:07.270Z,MGM,wallet-service,P4,TLS handshake duration elevated for wallet-service,auto-resolved,0,0.0,false
ALT-DEMO-0018,7.63,2026-06-10T10:00:07.630Z,NJ-DGE,game-service,P4,Health check warning: game-service response time 75ms,auto-resolved,0,0.0,false
ALT-DEMO-0019,7.96,2026-06-10T10:00:07.960Z,GIB-UKGC,auth-service,P2,auth-service 5xx rate above 2% (3.2%),active,28000,4.36,false
ALT-DEMO-0020,8.46,2026-06-10T10:00:08.460Z,GIB-UKGC,game-service,P4,Background job queue depth at 350,auto-resolved,0,0.0,false
ALT-DEMO-0021,8.69,2026-06-10T10:00:08.690Z,GIB-UKGC,payments-service,P3,Queue depth elevated on payments-service,acknowledged,0,1.13,false
ALT-DEMO-0022,9.53,2026-06-10T10:00:09.530Z,MIRAGE,game-service,P4,game-service certificate expiring in 65 days,active,0,0.0,false
ALT-DEMO-0023,10.19,2026-06-10T10:00:10.190Z,NJ-DGE,bet-service,P4,bet-service certificate expiring in 500 days,auto-resolved,0,0.0,false
ALT-DEMO-0024,11.96,2026-06-10T10:00:11.960Z,GIB-UKGC,wallet-service,P3,Connection pool exhausted briefly on wallet-service,active,8000,0.37,false
ALT-DEMO-0025,12.6,2026-06-10T10:00:12.600Z,MIRAGE,payments-service,P4,payments-service cache hit rate 52%,active,0,0.0,false
ALT-DEMO-0026,13.01,2026-06-10T10:00:13.010Z,NJ-DGE,replication,P4,DNS resolution intermittent for replication,acknowledged,0,0.0,false
ALT-DEMO-0027,13.4,2026-06-10T10:00:13.400Z,GIB-UKGC,wallet-service,P4,wallet-service cache hit rate 65%,auto-resolved,0,0.0,false
ALT-DEMO-0028,13.55,2026-06-10T10:00:13.550Z,MIRAGE,wallet-service,P4,Webhook delivery retried for wallet-service,acknowledged,0,0.0,false
ALT-DEMO-0029,14.34,2026-06-10T10:00:14.340Z,NJ-DGE,wallet-service,P4,wallet-service backup completed in 750s,acknowledged,0,0.0,false
ALT-DEMO-0030,14.84,2026-06-10T10:00:14.840Z,NJ-DGE,payments-service,P4,Background job queue depth at 78,active,0,0.0,false
ALT-DEMO-0031,16.8,2026-06-10T10:00:16.800Z,MIRAGE,auth-service,P3,Failed deploy on staging for auth-service,acknowledged,8000,1.06,false
ALT-DEMO-0032,16.96,2026-06-10T10:00:16.960Z,NJ-DGE,wallet-service,P4,Auto-scaling event triggered for wallet-service,active,0,0.0,false
ALT-DEMO-0033,17.48,2026-06-10T10:00:17.480Z,NJ-DGE,bet-service,P3,Queue depth elevated on bet-service,acknowledged,0,0.97,false
ALT-DEMO-0034,17.68,2026-06-10T10:00:17.680Z,GIB-UKGC,game-service,P4,Health check warning: game-service response time 200ms,active,0,0.0,false
ALT-DEMO-0035,18.48,2026-06-10T10:00:18.480Z,MGM,auth-service,P4,auth-service cache hit rate 350%,auto-resolved,0,0.0,false
ALT-DEMO-0036,18.86,2026-06-10T10:00:18.860Z,MIRAGE,auth-service,P4,Log rotation completed on auth-service,acknowledged,0,0.0,false
ALT-DEMO-0037,18.97,2026-06-10T10:00:18.970Z,NJ-DGE,wallet-service,P4,GC pause 65ms on wallet-service,auto-resolved,0,0.0,false
ALT-DEMO-0038,19.3,2026-06-10T10:00:19.300Z,MGM,bet-service,P4,Connection pool 58% utilized,auto-resolved,0,0.0,false
ALT-DEMO-0039,19.57,2026-06-10T10:00:19.570Z,NJ-DGE,replication,P2,Payment gateway latency >3s on replication,active,8000,2.51,false
ALT-DEMO-0040,20.58,2026-06-10T10:00:20.580Z,GIB-UKGC,auth-service,P4,Auto-scaling event triggered for auth-service,active,0,0.0,false
ALT-DEMO-0041,20.81,2026-06-10T10:00:20.810Z,NJ-DGE,wallet-service,P4,DNS resolution intermittent for wallet-service,acknowledged,0,0.0,false
ALT-DEMO-0042,20.9,2026-06-10T10:00:20.900Z,GIB-UKGC,auth-service,P4,Auto-scaling event triggered for auth-service,auto-resolved,0,0.0,false
ALT-DEMO-0043,20.9,2026-06-10T10:00:20.900Z,GIB-UKGC,replication,P4,GC pause 45ms on replication,acknowledged,0,0.0,false
ALT-DEMO-0044,21.02,2026-06-10T10:00:21.020Z,MGM,auth-service,P4,auth-service backup completed in 750s,acknowledged,0,0.0,false
ALT-DEMO-0045,21.11,2026-06-10T10:00:21.110Z,NJ-DGE,replication,P4,Log rotation completed on replication,auto-resolved,0,0.0,false
ALT-DEMO-0046,23.84,2026-06-10T10:00:23.840Z,GIB-UKGC,bet-service,P4,Webhook delivery retried for bet-service,active,0,0.0,false
ALT-DEMO-0047,23.99,2026-06-10T10:00:23.990Z,GIB-UKGC,payments-service,P2,Payment gateway latency >3s on payments-service,active,4500,2.83,false
ALT-DEMO-0048,24.09,2026-06-10T10:00:24.090Z,MGM,payments-service,P4,Connection pool 1200% utilized,auto-resolved,0,0.0,false
ALT-DEMO-0049,24.11,2026-06-10T10:00:24.110Z,MGM,auth-service,P4,TLS handshake duration elevated for auth-service,acknowledged,0,0.0,false
ALT-DEMO-0050,24.88,2026-06-10T10:00:24.880Z,MGM,game-service,P4,game-service memory utilization 52%,acknowledged,0,0.0,false
ALT-DEMO-0051,25.53,2026-06-10T10:00:25.530Z,NJ-DGE,wallet-service,P2,Authentication failures spike on wallet-service,active,12000,2.98,false
ALT-DEMO-0052,25.62,2026-06-10T10:00:25.620Z,MGM,bet-service,P3,bet-service latency p95 increased to 70s,active,8000,1.4,false
ALT-DEMO-0053,26.57,2026-06-10T10:00:26.570Z,GIB-UKGC,replication,P3,Replication lag 3.5s on replication,active,12000,1.4,false
ALT-DEMO-0054,27.39,2026-06-10T10:00:27.390Z,MGM,auth-service,P4,DNS resolution intermittent for auth-service,auto-resolved,0,0.0,false
ALT-DEMO-0055,28.0,2026-06-10T10:00:28.000Z,MIRAGE,replication,P4,DNS resolution intermittent for replication,acknowledged,0,0.0,false
ALT-DEMO-0056,28.26,2026-06-10T10:00:28.260Z,MGM,wallet-service,P4,Connection pool 65% utilized,auto-resolved,0,0.0,false
ALT-DEMO-0057,29.06,2026-06-10T10:00:29.060Z,GIB-UKGC,payments-service,P4,GC pause 82ms on payments-service,auto-resolved,0,0.0,false
ALT-DEMO-0058,30.06,2026-06-10T10:00:30.060Z,MGM,auth-service,P4,auth-service certificate expiring in 1200 days,acknowledged,0,0.0,false
ALT-DEMO-0059,30.34,2026-06-10T10:00:30.340Z,NJ-DGE,bet-service,P3,bet-service latency p95 increased to 2.1s,acknowledged,8000,1.3,false
ALT-DEMO-0060,30.74,2026-06-10T10:00:30.740Z,MIRAGE,bet-service,P4,Disk usage at 78% on bet-service,active,0,0.0,false
ALT-DEMO-0061,30.74,2026-06-10T10:00:30.740Z,MIRAGE,wallet-service,P3,wallet-service cache hit rate dropped to 1.8%,acknowledged,12000,0.87,false
ALT-DEMO-0062,30.96,2026-06-10T10:00:30.960Z,GIB-UKGC,payments-service,P3,payments-service read replica falling behind,active,8000,0.97,false
ALT-DEMO-0063,32.63,2026-06-10T10:00:32.630Z,MIRAGE,replication,P4,TLS handshake duration elevated for replication,auto-resolved,0,0.0,false
ALT-DEMO-0064,34.11,2026-06-10T10:00:34.110Z,MGM,bet-service,P4,Webhook delivery retried for bet-service,auto-resolved,0,0.0,false
ALT-DEMO-0065,34.35,2026-06-10T10:00:34.350Z,GIB-UKGC,auth-service,P4,Connection pool 75% utilized,auto-resolved,0,0.0,false
ALT-DEMO-0066,34.46,2026-06-10T10:00:34.460Z,GIB-UKGC,replication,P4,Auto-scaling event triggered for replication,active,0,0.0,false
ALT-DEMO-0067,35.05,2026-06-10T10:00:35.050Z,MIRAGE,bet-service,P4,Slow query detected (750ms) on bet-service,auto-resolved,0,0.0,false
ALT-DEMO-0068,36.5,2026-06-10T10:00:36.500Z,MIRAGE,payments-service,P3,payments-service latency p95 increased to 3.0s,active,4500,1.31,false
ALT-DEMO-0069,36.91,2026-06-10T10:00:36.910Z,GIB-UKGC,game-service,P3,game-service read replica falling behind,active,4500,0.24,false
ALT-DEMO-0070,37.76,2026-06-10T10:00:37.760Z,MIRAGE,bet-service,P4,bet-service backup completed in 58s,acknowledged,0,0.0,false
ALT-DEMO-0071,39.54,2026-06-10T10:00:39.540Z,NJ-DGE,replication,P4,replication certificate expiring in 350 days,auto-resolved,0,0.0,false
ALT-DEMO-0072,39.7,2026-06-10T10:00:39.700Z,GIB-UKGC,auth-service,P4,Disk usage at 75% on auth-service,auto-resolved,0,0.0,false
ALT-DEMO-0073,39.94,2026-06-10T10:00:39.940Z,MGM,payments-service,P2,Failed transaction rate 90% on payments-service,active,4500,3.82,false
ALT-DEMO-0074,42.22,2026-06-10T10:00:42.220Z,NJ-DGE,wallet-service,P4,Webhook delivery retried for wallet-service,acknowledged,0,0.0,false
ALT-DEMO-0075,42.23,2026-06-10T10:00:42.230Z,MIRAGE,bet-service,P4,DNS resolution intermittent for bet-service,auto-resolved,0,0.0,false
ALT-DEMO-0076,43.13,2026-06-10T10:00:43.130Z,NJ-DGE,bet-service,P3,Slow transaction commits on bet-service,active,0,1.41,false
ALT-DEMO-0077,44.92,2026-06-10T10:00:44.920Z,GIB-UKGC,replication,P4,replication certificate expiring in 200 days,auto-resolved,0,0.0,false
ALT-DEMO-0078,45.0,2026-06-10T10:00:45.000Z,NJ-DGE,replication,P3,Memory pressure on replication (75%),active,8000,0.76,false
ALT-DEMO-0079,45.53,2026-06-10T10:00:45.530Z,MIRAGE,payments-service,P4,payments-service certificate expiring in 78 days,acknowledged,0,0.0,false
ALT-DEMO-0080,46.86,2026-06-10T10:00:46.860Z,GIB-UKGC,payments-service,P3,Failed deploy on staging for payments-service,acknowledged,1500,1.0,false
ALT-DEMO-0081,47.97,2026-06-10T10:00:47.970Z,MGM,replication,P4,Log rotation completed on replication,active,0,0.0,false
ALT-DEMO-0082,48.22,2026-06-10T10:00:48.220Z,MIRAGE,payments-service,P4,Log rotation completed on payments-service,auto-resolved,0,0.0,false
ALT-DEMO-0083,48.72,2026-06-10T10:00:48.720Z,MGM,auth-service,P4,Connection pool 200% utilized,auto-resolved,0,0.0,false
ALT-DEMO-0084,48.73,2026-06-10T10:00:48.730Z,GIB-UKGC,wallet-service,P2,Authentication failures spike on wallet-service,active,28000,3.85,false
ALT-DEMO-0085,49.51,2026-06-10T10:00:49.510Z,NJ-DGE,wallet-service,P4,Connection pool 65% utilized,auto-resolved,0,0.0,false
ALT-DEMO-0086,50.32,2026-06-10T10:00:50.320Z,MGM,game-service,P4,Slow query detected (500ms) on game-service,auto-resolved,0,0.0,false
ALT-DEMO-0087,50.78,2026-06-10T10:00:50.780Z,NJ-DGE,bet-service,P4,Auto-scaling event triggered for bet-service,auto-resolved,0,0.0,false
ALT-DEMO-0088,53.04,2026-06-10T10:00:53.040Z,GIB-UKGC,bet-service,P4,Auto-scaling event triggered for bet-service,active,0,0.0,false
ALT-DEMO-0089,54.11,2026-06-10T10:00:54.110Z,GIB-UKGC,wallet-service,P4,Connection pool 65% utilized,auto-resolved,0,0.0,false
ALT-DEMO-0090,55.03,2026-06-10T10:00:55.030Z,NJ-DGE,wallet-service,P4,GC pause 70ms on wallet-service,auto-resolved,0,0.0,false
ALT-DEMO-0091,56.55,2026-06-10T10:00:56.550Z,MGM,wallet-service,P4,Disk usage at 82% on wallet-service,auto-resolved,0,0.0,false
ALT-DEMO-0092,56.59,2026-06-10T10:00:56.590Z,NJ-DGE,payments-service,P2,Failed transaction rate 88% on payments-service,active,18000,2.0,false
ALT-DEMO-0093,56.63,2026-06-10T10:00:56.630Z,MGM,game-service,P4,game-service certificate expiring in 65 days,active,0,0.0,false
ALT-DEMO-0094,57.33,2026-06-10T10:00:57.330Z,MIRAGE,bet-service,P3,bet-service read replica falling behind,active,8000,1.49,false
ALT-DEMO-0095,58.06,2026-06-10T10:00:58.060Z,NJ-DGE,replication,P4,Webhook delivery retried for replication,auto-resolved,0,0.0,false
ALT-DEMO-0096,58.12,2026-06-10T10:00:58.120Z,NJ-DGE,game-service,P4,Background job queue depth at 45,auto-resolved,0,0.0,false
ALT-DEMO-0097,58.6,2026-06-10T10:00:58.600Z,MGM,auth-service,P4,Auto-scaling event triggered for auth-service,auto-resolved,0,0.0,false
ALT-DEMO-0098,60.53,2026-06-10T10:01:00.530Z,GIB-UKGC,replication,P3,Failed login rate increased on replication,active,12000,0.39,false
ALT-DEMO-0099,60.65,2026-06-10T10:01:00.650Z,MGM,auth-service,P4,Disk usage at 52% on auth-service,auto-resolved,0,0.0,false
ALT-DEMO-0100,61.03,2026-06-10T10:01:01.030Z,MIRAGE,game-service,P4,Disk usage at 52% on game-service,auto-resolved,0,0.0,false
ALT-DEMO-0101,62.03,2026-06-10T10:01:02.030Z,NJ-DGE,wallet-service,P4,wallet-service cache hit rate 350%,acknowledged,0,0.0,false
ALT-DEMO-0102,64.29,2026-06-10T10:01:04.290Z,MGM,replication,P2,replication 5xx rate above 2% (2.8%),active,18000,3.2,false
ALT-DEMO-0103,64.53,2026-06-10T10:01:04.530Z,MIRAGE,payments-service,P2,Failed transaction rate 90% on payments-service,active,12000,2.9,false
ALT-DEMO-0104,64.61,2026-06-10T10:01:04.610Z,MIRAGE,payments-service,P4,Connection pool 350% utilized,acknowledged,0,0.0,false
ALT-DEMO-0105,65.21,2026-06-10T10:01:05.210Z,MGM,auth-service,P4,Log rotation completed on auth-service,acknowledged,0,0.0,false
ALT-DEMO-0106,65.76,2026-06-10T10:01:05.760Z,MIRAGE,replication,P2,Authentication failures spike on replication,active,8000,3.2,false
ALT-DEMO-0107,66.27,2026-06-10T10:01:06.270Z,GIB-UKGC,wallet-service,P4,Connection pool 85% utilized,active,0,0.0,false
ALT-DEMO-0108,67.87,2026-06-10T10:01:07.870Z,GIB-UKGC,wallet-service,P4,Auto-scaling event triggered for wallet-service,auto-resolved,0,0.0,false
ALT-DEMO-0109,67.96,2026-06-10T10:01:07.960Z,MIRAGE,wallet-service,P4,wallet-service certificate expiring in 350 days,acknowledged,0,0.0,false
ALT-DEMO-0110,68.91,2026-06-10T10:01:08.910Z,MIRAGE,auth-service,P4,TLS handshake duration elevated for auth-service,acknowledged,0,0.0,false
ALT-DEMO-0111,69.51,2026-06-10T10:01:09.510Z,GIB-UKGC,game-service,P4,TLS handshake duration elevated for game-service,active,0,0.0,false
ALT-DEMO-0112,69.91,2026-06-10T10:01:09.910Z,MGM,game-service,P2,game-service 5xx rate above 2% (3.5%),active,12000,4.06,false
ALT-DEMO-0113,70.72,2026-06-10T10:01:10.720Z,MIRAGE,payments-service,P3,Replication lag 3.0s on payments-service,active,8000,0.69,false
ALT-DEMO-0114,72.24,2026-06-10T10:01:12.240Z,MIRAGE,bet-service,P2,bet-service sync delay exceeding SLA,active,4500,2.66,false
ALT-DEMO-0115,74.08,2026-06-10T10:01:14.080Z,GIB-UKGC,replication,P4,Disk usage at 45% on replication,active,0,0.0,false
ALT-DEMO-0116,74.38,2026-06-10T10:01:14.380Z,NJ-DGE,payments-service,P4,GC pause 82ms on payments-service,active,0,0.0,false
ALT-DEMO-0117,75.92,2026-06-10T10:01:15.920Z,MIRAGE,wallet-service,P2,Payment gateway latency >3s on wallet-service,active,28000,3.67,false
ALT-DEMO-0118,77.35,2026-06-10T10:01:17.350Z,MIRAGE,game-service,P3,Replication lag 65s on game-service,acknowledged,4500,1.33,false
ALT-DEMO-0119,77.41,2026-06-10T10:01:17.410Z,GIB-UKGC,auth-service,P4,Auto-scaling event triggered for auth-service,auto-resolved,0,0.0,false
ALT-DEMO-0120,78.16,2026-06-10T10:01:18.160Z,GIB-UKGC,payments-service,P3,Failed deploy on staging for payments-service,acknowledged,0,0.62,false
ALT-DEMO-0121,78.49,2026-06-10T10:01:18.490Z,MIRAGE,bet-service,P4,Health check warning: bet-service response time 350ms,auto-resolved,0,0.0,false
ALT-DEMO-0122,78.55,2026-06-10T10:01:18.550Z,GIB-UKGC,game-service,P3,game-service read replica falling behind,active,4500,1.03,false
ALT-DEMO-0123,79.38,2026-06-10T10:01:19.380Z,MGM,payments-service,P3,Intermittent timeouts to upstream on payments-service,active,4500,1.43,false
ALT-DEMO-0124,79.65,2026-06-10T10:01:19.650Z,MGM,replication,P2,replication circuit breaker tripped briefly,active,8000,4.5,false
ALT-DEMO-0125,79.73,2026-06-10T10:01:19.730Z,MGM,auth-service,P4,Auto-scaling event triggered for auth-service,active,0,0.0,false
ALT-DEMO-0126,80.11,2026-06-10T10:01:20.110Z,NJ-DGE,replication,P4,replication backup completed in 200s,auto-resolved,0,0.0,false
ALT-DEMO-0127,81.86,2026-06-10T10:01:21.860Z,MGM,bet-service,P3,bet-service cache hit rate dropped to 65%,active,1500,1.08,false
ALT-DEMO-0128,82.66,2026-06-10T10:01:22.660Z,NJ-DGE,replication,P3,Intermittent timeouts to upstream on replication,active,4500,0.24,false
ALT-DEMO-0129,82.77,2026-06-10T10:01:22.770Z,MIRAGE,auth-service,P3,Slow transaction commits on auth-service,active,8000,1.34,false
ALT-DEMO-0130,83.29,2026-06-10T10:01:23.290Z,MGM,bet-service,P4,bet-service backup completed in 1200s,acknowledged,0,0.0,false
ALT-DEMO-0131,83.56,2026-06-10T10:01:23.560Z,MIRAGE,wallet-service,P3,Elevated 4xx response rate on wallet-service,acknowledged,0,1.32,false
ALT-DEMO-0132,86.49,2026-06-10T10:01:26.490Z,MGM,game-service,P2,Failed transaction rate 88% on game-service,active,4500,2.51,false
ALT-DEMO-0133,86.83,2026-06-10T10:01:26.830Z,MIRAGE,auth-service,P3,Intermittent timeouts to upstream on auth-service,active,0,0.81,false
ALT-DEMO-WARN-01,90,2026-06-10T10:01:30.000Z,GIB-UKGC,bet-service,P3,bet-service latency p95 increased to 2.4s,active,32000,0.8,false
ALT-DEMO-0134,92.98,2026-06-10T10:01:32.980Z,GIB-UKGC,game-service,P4,DNS resolution intermittent for game-service,auto-resolved,0,0.0,false
ALT-DEMO-0135,93.89,2026-06-10T10:01:33.890Z,GIB-UKGC,wallet-service,P4,wallet-service memory utilization 45%,auto-resolved,0,0.0,false
ALT-DEMO-0136,93.97,2026-06-10T10:01:33.970Z,MIRAGE,bet-service,P3,bet-service read replica falling behind,active,12000,1.11,false
ALT-DEMO-0137,94.63,2026-06-10T10:01:34.630Z,NJ-DGE,payments-service,P3,payments-service read replica falling behind,active,1500,0.24,false
ALT-DEMO-0138,95.07,2026-06-10T10:01:35.070Z,NJ-DGE,auth-service,P2,Replication lag exceeded 30s threshold on auth-service,active,4500,2.87,false
ALT-DEMO-0139,95.17,2026-06-10T10:01:35.170Z,NJ-DGE,payments-service,P3,Intermittent timeouts to upstream on payments-service,active,8000,1.46,false
ALT-DEMO-0140,95.47,2026-06-10T10:01:35.470Z,GIB-UKGC,game-service,P2,Failed transaction rate 3.2% on game-service,active,28000,2.38,false
ALT-DEMO-0141,95.77,2026-06-10T10:01:35.770Z,NJ-DGE,game-service,P4,Connection pool 1200% utilized,acknowledged,0,0.0,false
ALT-DEMO-0142,96.35,2026-06-10T10:01:36.350Z,NJ-DGE,wallet-service,P3,Slow transaction commits on wallet-service,active,0,0.97,false
ALT-DEMO-0143,96.43,2026-06-10T10:01:36.430Z,NJ-DGE,payments-service,P4,Auto-scaling event triggered for payments-service,auto-resolved,0,0.0,false
ALT-DEMO-0144,96.97,2026-06-10T10:01:36.970Z,GIB-UKGC,game-service,P4,Health check warning: game-service response time 45ms,auto-resolved,0,0.0,false
ALT-DEMO-0145,97.78,2026-06-10T10:01:37.780Z,NJ-DGE,replication,P4,replication memory utilization 82%,acknowledged,0,0.0,false
ALT-DEMO-0146,97.86,2026-06-10T10:01:37.860Z,NJ-DGE,payments-service,P3,Elevated 4xx response rate on payments-service,active,0,0.36,false
ALT-DEMO-0147,98.52,2026-06-10T10:01:38.520Z,MGM,payments-service,P3,payments-service read replica falling behind,active,0,1.23,false
ALT-DEMO-0148,99.32,2026-06-10T10:01:39.320Z,GIB-UKGC,game-service,P3,Failed login rate increased on game-service,acknowledged,4500,0.64,false
ALT-DEMO-0149,99.72,2026-06-10T10:01:39.720Z,MGM,payments-service,P4,DNS resolution intermittent for payments-service,auto-resolved,0,0.0,false
ALT-DEMO-0150,101.64,2026-06-10T10:01:41.640Z,NJ-DGE,wallet-service,P4,Slow query detected (52ms) on wallet-service,auto-resolved,0,0.0,false
ALT-DEMO-0151,101.75,2026-06-10T10:01:41.750Z,MGM,game-service,P4,DNS resolution intermittent for game-service,auto-resolved,0,0.0,false
ALT-DEMO-0152,103.87,2026-06-10T10:01:43.870Z,NJ-DGE,replication,P4,Connection pool 200% utilized,auto-resolved,0,0.0,false
ALT-DEMO-0153,104.4,2026-06-10T10:01:44.400Z,GIB-UKGC,payments-service,P4,TLS handshake duration elevated for payments-service,auto-resolved,0,0.0,false
ALT-DEMO-0154,104.5,2026-06-10T10:01:44.500Z,MIRAGE,bet-service,P4,TLS handshake duration elevated for bet-service,acknowledged,0,0.0,false
ALT-DEMO-0155,105.21,2026-06-10T10:01:45.210Z,MGM,wallet-service,P4,wallet-service memory utilization 58%,active,0,0.0,false
ALT-DEMO-0156,107.12,2026-06-10T10:01:47.120Z,GIB-UKGC,bet-service,P4,Health check warning: bet-service response time 350ms,auto-resolved,0,0.0,false
ALT-DEMO-0157,107.87,2026-06-10T10:01:47.870Z,GIB-UKGC,replication,P4,Slow query detected (78ms) on replication,auto-resolved,0,0.0,false
ALT-DEMO-0158,108.15,2026-06-10T10:01:48.150Z,NJ-DGE,game-service,P4,game-service backup completed in 45s,active,0,0.0,false
ALT-DEMO-0159,108.19,2026-06-10T10:01:48.190Z,MIRAGE,payments-service,P4,Disk usage at 200% on payments-service,auto-resolved,0,0.0,false
ALT-DEMO-0160,109.24,2026-06-10T10:01:49.240Z,NJ-DGE,payments-service,P4,Connection pool 350% utilized,auto-resolved,0,0.0,false
ALT-DEMO-0161,110.07,2026-06-10T10:01:50.070Z,NJ-DGE,payments-service,P4,payments-service memory utilization 65%,auto-resolved,0,0.0,false
ALT-DEMO-0162,110.18,2026-06-10T10:01:50.180Z,NJ-DGE,auth-service,P4,auth-service memory utilization 82%,auto-resolved,0,0.0,false
ALT-DEMO-0163,110.54,2026-06-10T10:01:50.540Z,MGM,game-service,P3,Elevated 4xx response rate on game-service,acknowledged,0,0.77,false
ALT-DEMO-0164,110.6,2026-06-10T10:01:50.600Z,MIRAGE,payments-service,P4,Auto-scaling event triggered for payments-service,auto-resolved,0,0.0,false
ALT-DEMO-0165,110.61,2026-06-10T10:01:50.610Z,MIRAGE,game-service,P4,TLS handshake duration elevated for game-service,acknowledged,0,0.0,false
ALT-DEMO-0166,112.01,2026-06-10T10:01:52.010Z,MIRAGE,game-service,P4,GC pause 52ms on game-service,auto-resolved,0,0.0,false
ALT-DEMO-0167,112.32,2026-06-10T10:01:52.320Z,NJ-DGE,bet-service,P4,GC pause 350ms on bet-service,active,0,0.0,false
ALT-DEMO-0168,114.09,2026-06-10T10:01:54.090Z,GIB-UKGC,replication,P4,replication cache hit rate 52%,active,0,0.0,false
ALT-DEMO-0169,114.79,2026-06-10T10:01:54.790Z,NJ-DGE,replication,P3,Slow transaction commits on replication,active,4500,1.18,false
ALT-DEMO-0170,115.23,2026-06-10T10:01:55.230Z,MGM,game-service,P2,Replication lag exceeded 30s threshold on game-service,active,18000,1.98,false
ALT-DEMO-0171,115.5,2026-06-10T10:01:55.500Z,MGM,wallet-service,P4,GC pause 52ms on wallet-service,auto-resolved,0,0.0,false
ALT-DEMO-0172,115.55,2026-06-10T10:01:55.550Z,NJ-DGE,wallet-service,P3,Memory pressure on wallet-service (18%),active,4500,0.95,false
ALT-DEMO-0173,116.55,2026-06-10T10:01:56.550Z,GIB-UKGC,game-service,P4,Log rotation completed on game-service,auto-resolved,0,0.0,false
ALT-DEMO-0174,116.6,2026-06-10T10:01:56.600Z,NJ-DGE,auth-service,P4,GC pause 350ms on auth-service,active,0,0.0,false
ALT-DEMO-0175,117.03,2026-06-10T10:01:57.030Z,GIB-UKGC,game-service,P4,Log rotation completed on game-service,acknowledged,0,0.0,false
ALT-DEMO-0176,118.15,2026-06-10T10:01:58.150Z,MGM,wallet-service,P4,wallet-service certificate expiring in 75 days,active,0,0.0,false
ALT-DEMO-0177,118.4,2026-06-10T10:01:58.400Z,GIB-UKGC,replication,P3,Replication lag 1.5s on replication,active,0,1.39,false
ALT-DEMO-0178,119.2,2026-06-10T10:01:59.200Z,NJ-DGE,bet-service,P4,Connection pool 85% utilized,auto-resolved,0,0.0,false
ALT-DEMO-0179,120.46,2026-06-10T10:02:00.460Z,NJ-DGE,replication,P4,DNS resolution intermittent for replication,auto-resolved,0,0.0,false
ALT-DEMO-0180,120.8,2026-06-10T10:02:00.800Z,MGM,bet-service,P4,Webhook delivery retried for bet-service,active,0,0.0,false
ALT-DEMO-0181,120.92,2026-06-10T10:02:00.920Z,NJ-DGE,wallet-service,P4,DNS resolution intermittent for wallet-service,acknowledged,0,0.0,false
ALT-DEMO-0182,121.61,2026-06-10T10:02:01.610Z,GIB-UKGC,bet-service,P4,Auto-scaling event triggered for bet-service,active,0,0.0,false
